Mineral_Name,Mineral_Name_plain,Mineral_Name_(HTML),Structural_Groupname,Valence_Elements,Oldest_Known_Age_Ma,Fe_AMCSD,Co_AMCSD,Cu_AMCSD,Mn_AMCSD,Mo_AMCSD,Ni_AMCSD,V_AMCSD,W_AMCSD,Zn_AMCSD,Retrieved(Y/N)
Qitianlingite,Qitianlingite,Qitianlingite,Columbite,Fe^2+ Nb^5+ W^6+ O,2628,,NA,NA,NA,NA,NA,NA,,NA,
,Connellite,Connellite,Connellite,Cu^2+ S^6+ O H Cl,2500,NA,,,,,,,,,
,Buttgenbachite,Buttgenbachite,Connellite,Cu^2+ N^5+ O Cl H,1575,NA,,,,,,,,,
Ferricopiapite,Ferricopiapite,Ferricopiapite,Copiapite,Fe^3+ S^6+ O H,2500,,NA,NA,NA,NA,NA,NA,NA,NA,
Magnesiocopiapite,Magnesiocopiapite,Magnesiocopiapite,Copiapite,Mg Fe^3+ S^6+ O H,1000,,NA,NA,NA,NA,NA,NA,NA,NA,
Coquimbite,Coquimbite,Coquimbite,Coquimbite,Al Fe^3+ S^6+ O H,2638,,NA,NA,NA,NA,NA,NA,NA,NA,
Aluminocoquimbite,Aluminocoquimbite,Aluminocoquimbite,Coquimbite,Al Fe^3+ S^6+ O H,,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Cryptomelane,Cryptomelane,Coronadite,K Mn^4+ Mn^3+ O,3110,NA,,,,,,,,,
,Coronadite,Coronadite,Coronadite,Pb Mn^4+ Mn^3+ O,2840,NA,,,,,,,,,
,Hollandite,Hollandite,Coronadite,Ba Mn^4+ Mn^3+ O,2400,NA,,,,,,,,,
Akaganeite,Akaganeite,Akaganeite,Coronadite,Fe^3+ Ni^2+ O H Cl,2038,1349,NA,NA,NA,NA,NO_NI,NA,NA,NA,N
Priderite,Priderite,Priderite,Coronadite,K Ti^4+ Fe^3+ O,2038,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferrihollandite,Ferrihollandite,Ferrihollandite,Coronadite,Ba Mn^4+ Fe^3+ O,2000,,NA,NA,,NA,NA,NA,NA,NA,
,Redledgeite,Redledgeite,Coronadite,Ba Ti^4+ Cr^3+ O,2000,NA,,,,,,,,,
Henrymeyerite,Henrymeyerite,Henrymeyerite,Coronadite,Ba Ti^4+ Fe^2+ O,928,,NA,NA,NA,NA,NA,NA,NA,NA,
,Mannardite,Mannardite,Coronadite,Ba Ti^4+ V^3+ O,481,NA,,,,,,,,,
,Eskolaite,Eskolaite,Corundum,Cr^3+ O,4700,NA,,,,,,,,,
Hematite,Hematite,Hematite,Corundum,Fe^3+ O,4620,,NA,NA,NA,NA,NA,NA,NA,NA,
Ilmenite,Ilmenite,Ilmenite,Corundum,Fe^2+ Ti^4+ O,4567.61,,NA,NA,NA,NA,NA,NA,NA,NA,
,Pyrophanite,Pyrophanite,Corundum,Mn^2+ Ti^4+ O,2700,NA,,,,,,,,,
,Ecandrewsite,Ecandrewsite,Corundum,Zn^2+ Ti^4+ O,2500,NA,,,,,,,,,
,Karelianite,Karelianite,Corundum,V^3+ O,2500,NA,,,,,,,,,
Melanostibite,Melanostibite,Melanostibite,Corundum,Mn^2+ Sb^5+ Fe^3+ O,,,NA,NA,,NA,NA,NA,NA,NA,
Lindsleyite,Lindsleyite,Lindsleyite,Crichtonite,Ba Sr Zr^4+ Ca Fe^3+ Mg Ti^4+ Cr^3+ O,2605,,NA,NA,NA,NA,NA,NA,NA,NA,
Senaite,Senaite,Senaite,Crichtonite,Pb^2+ Mn^2+ Y^3+ U Fe^2+ Zn^2+ Ti^4+ Fe^3+ Cr^3+ V^5+ O H,2570,,NA,NA,,NA,NA,,NA,,
Davidite-(La),Davidite-(La),Davidite-(La),Crichtonite,La^3+ Y^3+ U^4+ Fe^3+ Ti^4+ Cr^3+ V^5+ O H F,2500,,NA,NA,NA,NA,NA,,NA,NA,
Loveringite,Loveringite,Loveringite,Crichtonite,Ca Ce La Zr^4+ Fe^3+ Mg Ti^4+ Cr^3+ Al O,2500,,NA,NA,NA,NA,NA,NA,NA,NA,
Dessauite-(Y),Dessauite-(Y),Dessauite-(Y),Crichtonite,Sr^2+ Y^3+ U^4+ Mn^2+ Fe^3+ Ti^4+ Cr^3+ V^5+ O H,2000,,NA,NA,,NA,NA,,NA,NA,
Crichtonite,Crichtonite,Crichtonite,Crichtonite,Sr Mn^2+ Y^3+ U^6+ Fe^2+ Ti^4+ Fe^3+ Cr^3+ V^5+ O H,1985,,NA,NA,,NA,NA,,NA,NA,
Almeidaite,Almeidaite,Almeidaite,Crichtonite,Pb^2+ Zn^2+ Mn^2+ Y^3+ Ti^4+ Fe^3+ O H,1192,FE_SUB,NA,NA,MN_SUB,NA,NA,NA,NA,20699,N
Gramaccioliite-(Y),Gramaccioliite-(Y),Gramaccioliite-(Y),Crichtonite,Pb^2+ Sr Y^3+ Mn^2+ Fe^3+ Ti^4+ O,599,,NA,NA,,NA,NA,NA,NA,NA,
Landauite,Landauite,Landauite,Crichtonite,Na Pb^2+ Mn^2+ Y^3+ Zn^2+ Fe^2+ Ti^4+ Fe^3+ Nb^5+ O H F,390,,NA,NA,,NA,NA,NA,NA,,
Mathiasite,Mathiasite,Mathiasite,Crichtonite,K Ba Sr Zr^4+ Fe^3+ Mg Ti^4+ Cr^3+ O,190,,NA,NA,NA,NA,NA,NA,NA,NA,
Paseroite,Paseroite,Paseroite,Crichtonite,Pb Mn^2+ Fe^3+ V^5+ Ti^4+ O,100,,NA,NA,,NA,NA,,NA,NA,
Mapiquiroite,Mapiquiroite,Mapiquiroite,Crichtonite,Sr Pb^2+ U^4+ Y^3+ Fe^3+ Ti^4+ Cr^3+ O,27,,NA,NA,NA,NA,NA,NA,NA,NA,
,Wulfingite,W&#252;lfingite,Cristobalite,Zn^2+ O H,410,NA,,,,,,,,,
Isocubanite,Isocubanite,Isocubanite,Cubanite,Cu^1+ Fe^2+ Fe^3+ S^2-,4620,,NA,,NA,NA,NA,NA,NA,NA,
Sternbergite,Sternbergite,Sternbergite,Cubanite,Ag^1+ Fe S^2-,2730,,NA,NA,NA,NA,NA,NA,NA,NA,
Argentopyrite,Argentopyrite,Argentopyrite,Cubanite,Ag^1+ Fe S^2-,1900,4994,NA,NA,NA,NA,NA,NA,NA,NA,N
Rasvumite,Rasvumite,Rasvumite,Cubanite,K Fe S^2-,439.7,,NA,NA,NA,NA,NA,NA,NA,NA,
Pautovite,Pautovite,Pautovite,Cubanite,Cs^1+ Fe S^2-,370,,NA,NA,NA,NA,NA,NA,NA,NA,
Picotpaulite,Picotpaulite,Picotpaulite,Cubanite,Tl^1+ Fe S^2-,245,,NA,NA,NA,NA,NA,NA,NA,NA,
,Khaidarkanite,Khaidarkanite,Cyanotrichite,Cu^2+ Al O H F,599,NA,,,,,,,,,
,Camerolaite,Cam&#233;rolaite,Cyanotrichite,Cu^2+ Al O H Sb^5+ S^6+,387,NA,,,,,,,,,
Franckeite,Franckeite,Franckeite,Cylindrite,Pb Sn Fe Sb S,419.2,,NA,NA,NA,NA,NA,NA,NA,NA,
D'ansite-(Fe),Dansite-(Fe),D&#39;ansite-(Fe),Dansite,Na Fe^2+ S O Cl,237,,NA,NA,NA,NA,NA,NA,NA,NA,
,Dansite-(Mn),D&#39;ansite-(Mn),Dansite,Na Mn^2+ S O Cl,0,NA,,,,,,,,,
,Calciodelrioite,Calciodelrioite,Delrioite,Ca V^5+ O H,0,NA,,,,,,,,,
,Mottramite,Mottramite,Descloizite,Pb^2+ Cu^2+ V^5+ O H,4000,NA,,,,,,,,,
,Descloizite,Descloizite,Descloizite,Pb^2+ Zn^2+ V^5+ O H,2770,NA,,,,,,,,,
,Pyrobelonite,Pyrobelonite,Descloizite,Pb^2+ Mn^2+ V^5+ O H,1890,NA,,,,,,,,,
Čechite,Cechite,&#268;echite,Descloizite,Pb^2+ Fe^2+ V^5+ O H,443,FE_SUB,NA,NA,NA,NA,NA,14834,NA,NA,N
,Devilline,Devilline,Devilline,Ca Cu^2+ S^6+ O H,4000,NA,,,,,,,,,
,Serpierite,Serpierite,Devilline,Ca Cu^2+ Zn^2+ S^6+ O H,2046,NA,,,,,,,,,
,Ktenasite,Ktenasite,Devilline,Zn^2+ Cu^2+ S^6+ O H,1861,NA,,,,,,,,,
,Campigliaite,Campigliaite,Devilline,Cu^2+ Mn^2+ S^6+ O H,1703,NA,,,,,,,,,
,Digenite,Digenite,Digenite,Cu S,4000,NA,,,,,,,,,
,Anilite,Anilite,Digenite,Cu S,2498,NA,,,,,,,,,
Djerfisherite,Djerfisherite,Djerfisherite,Djerfisherite,K Fe Cu Ni S Cl,2050,FE_SUB,NA,6153,NA,NA,NI_SUB,NA,NA,NA,N
Bartonite,Bartonite,Bartonite,Djerfisherite,K Fe S,1160,824,NA,NA,NA,NA,NA,NA,NA,NA,N
Chlorbartonite,Chlorbartonite,Chlorbartonite,Djerfisherite,K Fe S Cl,1160,5834,NA,NA,NA,NA,NA,NA,NA,NA,N
Owensite,Owensite,Owensite,Djerfisherite,Ba Pb^2+ Cu^1+ Fe^2+ Ni^2+ S^2-,233,,NA,,NA,NA,,NA,NA,NA,
Ankerite,Ankerite,Ankerite,Dolomite,Ca Fe^2+ C O,4000,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Kutnohorite,Kutnohorite,Dolomite,Ca Mn^2+ C O,2628,NA,,,,,,,,,
Dufrénite,Dufrenite,Dufr&#233;nite,Dufrénite,Ca Fe^2+ Fe^3+ P O H,3044,,NA,NA,NA,NA,NA,NA,NA,NA,
Burangaite,Burangaite,Burangaite,Dufrénite,Na Fe^2+ Al P O H,950,5534,NA,NA,NA,NA,NA,NA,NA,NA,N
Gayite,Gayite,Gayite,Dufrénite,Na Mn^2+ Fe^3+ P O H,582,,NA,NA,,NA,NA,NA,NA,NA,
,Dugganite,Dugganite,Dugganite,Pb^2+ Zn^2+ Te^6+ O As^5+,946,NA,,,,,,,,,
,Kuksite,Kuksite,Dugganite,Pb^2+ Zn^2+ Te^6+ O P^5+,946,NA,,,,,,,,,
,Joelbruggerite,Joelbruggerite,Dugganite,Pb^2+ Zn^2+ Sb^5+ As^5+ O H,,NA,,,,,,,,,
Ekatite,Ekatite,Ekatite,Ellenbergerite,Fe^3+ Fe^2+ Zn^2+ As^3+ O Si H,541,FE_SUB,NA,NA,NA,NA,NA,NA,NA,ZN_SUB,N
,Enargite,Enargite,Enargite,Cu As S,3640,NA,,,,,,,,,
Allanite-(Ce),Allanite-(Ce),Allanite-(Ce),Epidote,Ca Ce Al Fe^2+ Si O H,3366,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Piemontite,Piemontite,Epidote,Ca Mn^3+ Al Si O H,2906,NA,,,,,,,,,
Allanite-(La),Allanite-(La),Allanite-(La),Epidote,Ca La Fe^2+ Al Si O H,2816,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Ferriallanite-(Ce),Ferriallanite-(Ce),Ferriallanite-(Ce),Epidote,Ca Ce^3+ Fe^2+ Fe^3+ Al Si O H,1910,,NA,NA,NA,NA,NA,NA,NA,NA,
Hancockite,Hancockite,Hancockite,Epidote,Ca Pb^2+ Fe^3+ Al Si O H,1898,,NA,NA,NA,NA,NA,NA,NA,NA,
Allanite-(Nd),Allanite-(Nd),Allanite-(Nd),Epidote,Ca Nd Al Fe^2+ Si O H,1890,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Epidote-(Sr),Epidote-(Sr),Epidote-(Sr),Epidote,Ca Sr Fe^3+ Al Si O H,1349,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferriakasakaite-(La),Ferriakasakaite-(La),Ferriakasakaite-(La),Epidote,Ca La^3+ Fe^3+ Al Mn^2+ Si O H,1349,,NA,NA,,NA,NA,NA,NA,NA,
,Tweddillite,Tweddillite,Epidote,Ca Sr Mn^3+ Al Si O H,1054,NA,,,,,,,,,
Uedaite-(Ce),Uedaite-(Ce),Uedaite-(Ce),Epidote,Mn^2+ Ce^3+ Al Fe^2+ Si O H,967,,NA,NA,,NA,NA,NA,NA,NA,
Ferriallanite-(La),Ferriallanite-(La),Ferriallanite-(La),Epidote,Ca La^3+ Fe^3+ Al Fe^2+ Si O H,354,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferriandrosite-(La),Ferriandrosite-(La),Ferriandrosite-(La),Epidote,Mn^2+ La^3+ Fe^3+ Al Si O H,,,NA,NA,,NA,NA,NA,NA,NA,
,Piemontite-(Pb),Piemontite-(Pb),Epidote,Ca Pb^2+ Al Mn^3+ Si O H,,NA,,,,,,,,,
Vanadoallanite-(La),Vanadoallanite-(La),Vanadoallanite-(La),Epidote,Ca La^3+ V^3+ Al Fe^2+ Si O H,,,NA,NA,NA,NA,NA,,NA,NA,
,Goslarite,Goslarite,Epsomite,Zn^2+ S^6+ O H,3200,NA,,,,,,,,,
,Morenosite,Morenosite,Epsomite,Ni^2+ S^6+ O H,2742,NA,,,,,,,,,
Ericssonite,Ericssonite,Ericssonite,Ericssonite,Ba Mn^2+ Fe^3+ Si O H,1898,,NA,NA,,NA,NA,NA,NA,NA,
Ferroericssonite,Ferroericssonite,Ferroericssonite,Ericssonite,Ba Fe^2+ Fe^3+ Si O H,542,,NA,NA,NA,NA,NA,NA,NA,NA,
Ershovite,Ershovite,Ershovite,Ershovite,K Na Fe^2+ Mn^2+ Ti^4+ Si O H,413.6,FE_SUB,NA,NA,MN_SUB,NA,NA,NA,NA,NA,N
Paraershovite,Paraershovite,Paraershovite,Ershovite,Na K Fe^3+ Si O H,413.6,,NA,NA,NA,NA,NA,NA,NA,NA,
,Jouravskite,Jouravskite,Ettringite,Ca Mn^4+ S^6+ O C^4+ H,2400,NA,,,,,,,,,
Sturmanite,Sturmanite,Sturmanite,Ettringite,Ca Fe^3+ S O B H,2400,,NA,NA,NA,NA,NA,NA,NA,NA,
,Euchlorine,Euchlorine,Euchlorine,K Na Cu^2+ O S^6+,3.60E-05,NA,,,,,,,,,
,Fedotovite,Fedotovite,Euchlorine,K Cu^2+ O S^6+,3.60E-05,NA,,,,,,,,,
Eudialyte,Eudialyte,Eudialyte,Eudialyte,Na Ca Fe^2+ Zr^4+ Si O H Cl,2500,,NA,NA,NA,NA,NA,NA,NA,NA,
,Kentbrooksite,Kentbrooksite,Eudialyte,Na La^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H F Cl,2500,NA,,,,,,,,,
Taseqite,Taseqite,Taseqite,Eudialyte,Na Sr Ca Fe^2+ Zr^4+ Nb^5+ Si O H Cl,2500,,NA,NA,NA,NA,NA,NA,NA,NA,
,Alluaivite,Alluaivite,Eudialyte,Na Ca Mn^2+ Ti^4+ Nb^5+ Si O Cl H,1540,NA,,,,,,,,,
Golyshevite,Golyshevite,Golyshevite,Eudialyte,Na Ca Zr^4+ Fe^2+ Si Nb^5+ O H C,500,,NA,NA,NA,NA,NA,NA,NA,NA,
,Andrianovite,Andrianovite,Eudialyte,Na K Sr Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H,413.6,NA,,,,,,,,,
Davinciite,Davinciite,Davinciite,Eudialyte,Na K Ca Fe^2+ Zr^4+ Si O H Cl,413.6,,NA,NA,NA,NA,NA,NA,NA,NA,
Georgbarsanovite,Georgbarsanovite,Georgbarsanovite,Eudialyte,Na Mn^2+ Sr Ca Fe^2+ Zr^4+ Nb^5+ Si O Cl H,413.6,,NA,NA,,NA,NA,NA,NA,NA,
Ikranite,Ikranite,Ikranite,Eudialyte,Na H O Ca Mn^2+ Ce^3+ Fe^3+ Zr^4+ Si Cl,413.6,,NA,NA,,NA,NA,NA,NA,NA,
Labyrinthite,Labyrinthite,Labyrinthite,Eudialyte,Na K Sr Ca Fe^2+ Zr^4+ Ti^4+ Si O H Cl,413.6,,NA,NA,NA,NA,NA,NA,NA,NA,
,Manganoeudialyte,Manganoeudialyte,Eudialyte,Na Ca Mn^2+ Zr^4+ Si O H Cl,370,NA,,,,,,,,,
Raslakite,Raslakite,Raslakite,Eudialyte,Na Ca Fe^2+ Zr^4+ Si Nb^3+ O H Cl,370,,NA,NA,NA,NA,NA,NA,NA,NA,
,Johnsenite-(Ce),Johnsenite-(Ce),Eudialyte,Na Ce^3+ Ca Mn^2+ Zr^4+ W^6+ Si O C^4+ H,124,NA,,,,,,,,,
Khomyakovite,Khomyakovite,Khomyakovite,Eudialyte,Na Ca Sr Fe^2+ W^6+ Zr^4+ Si O H Cl,124,,NA,NA,NA,NA,NA,NA,,NA,
Oneillite,Oneillite,Oneillite,Eudialyte,Na Ca Mn^2+ Fe^2+ Zr^4+ Nb^5+ Si O H Cl,124,,NA,NA,,NA,NA,NA,NA,NA,
,Fairfieldite,Fairfieldite,Fairfieldite,Ca Mn^2+ P O H,2740,NA,,,,,,,,,
Messelite,Messelite,Messelite,Fairfieldite,Ca Fe^2+ P O H,2046,,NA,NA,NA,NA,NA,NA,NA,NA,
,Gaitite,Gaitite,Fairfieldite,Ca^2+ Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Hillite,Hillite,Fairfieldite,Ca Zn^2+ P^5+ O H,,NA,,,,,,,,,
,Filatovite,Filatovite,Feldspar,K Al Zn^2+ As^5+ Si O,3.60E-05,NA,,,,,,,,,
,Fianelite,Fianelite,Fianelite,Mn^2+ V^5+ O H,,NA,,,,,,,,,
,Fillowite,Fillowite,Fillowite,Na Ca Mn^2+ P O,2772,NA,,,,,,,,,
,Despujolsite,Despujolsite,Fleischerite,Ca Mn^4+ S O H,2400,NA,,,,,,,,,
,Fluckite,Fluckite,Fluckite,Ca Mn^2+ As^5+ O H,0,NA,,,,,,,,,
,Fornacite,Fornacite,Fornacite,Cu^2+ Pb^2+ Cr^6+ O As^5+ H,3200,NA,,,,,,,,,
,Curienite,Curienite,Fritzscheite,Pb^2+ U^6+ O V^5+ H,1840,NA,,,,,,,,,
,Francevillite,Francevillite,Fritzscheite,Ba U^6+ O V^5+ H,1840,NA,,,,,,,,,
Günterblassite,Gunterblassite,G&#252;nterblassite,Günterblassite,K Ca Fe^2+ Si Al O H,354,,NA,NA,NA,NA,NA,NA,NA,NA,
Gadolinite-(Y),Gadolinite-(Y),Gadolinite-(Y),Gadolinite,Fe^2+ Be Y^3+ Si O,2815,,NA,NA,NA,NA,NA,NA,NA,NA,
Homilite,Homilite,Homilite,Gadolinite,Ca Fe^2+ B Si O,294,,NA,NA,NA,NA,NA,NA,NA,NA,
Andradite,Andradite,Andradite,Garnet,Ca Fe^3+ Si O,4568.5,4182,NA,NA,NA,NA,NA,NA,NA,NA,N
,Spessartine,Spessartine,Garnet,Mn^2+ Al Si O,3293,NA,,,,,,,,,
Almandine,Almandine,Almandine,Garnet,Fe^2+ Al Si O,2925,1469,NA,NA,NA,NA,NA,NA,NA,NA,N
,Uvarovite,Uvarovite,Garnet,Ca Cr^3+ Si O,2696,NA,,,,,,,,,
,Goldmanite,Goldmanite,Garnet,Ca V^3+ Si O,2644,NA,,,,,,,,,
,Henritermierite,Henritermierite,Garnet,Ca Mn^3+ Si O H,2400,NA,,,,,,,,,
Schorlomite,Schorlomite,Schorlomite,Garnet,Ca Ti^4+ Fe^3+ Si O,2100,,NA,NA,NA,NA,NA,NA,NA,NA,
,Manganberzeliite,Manganberzeliite,Garnet,Na Ca Mn^2+ As^5+ O,2000,NA,,,,,,,,,
Calderite,Calderite,Calderite,Garnet,Mn^2+ Fe^3+ Si O,1739,18998,NA,NA,18998,NA,NA,NA,NA,NA,N
,Yafsoanite,Yafsoanite,Garnet,Ca Te^6+ Zn^2+ O,946,NA,,,,,,,,,
,Knorringite,Knorringite,Garnet,Mg Cr^3+ Si O,388,NA,,,,,,,,,
Kerimasite,Kerimasite,Kerimasite,Garnet,Ca Zr^4+ Fe^3+ Si O,354,,NA,NA,NA,NA,NA,NA,NA,NA,
,Schaferite,Sch&#228;ferite,Garnet,Na Ca Mg V^5+ O,354,NA,,,,,,,,,
,Palenzonaite,Palenzonaite,Garnet,Na Ca Mn^2+ V^5+ O,100,NA,,,,,,,,,
Perbøeite-(Ce),Perboeite-(Ce),Perb&#248;eite-(Ce),Gatelite,Ca Ce Al Fe^2+ Si O H,1788,,NA,NA,NA,NA,NA,NA,NA,NA,
Gatelite-(Ce),Gatelite-(Ce),Gatelite-(Ce),Gatelite,Ca Ce^3+ Al Mg Fe^2+ Si O F H,,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Gelosaite,Gelosaite,Gelosaite,Bi^3+ Mo^6+ Mo^5+ O H,289.2,NA,,,,,,,,,
,Colusite,Colusite,Germanite,Cu^1+ Cu^2+ V^3+ As^5+ S^2-,2716,NA,,,,,,,,,
Renierite,Renierite,Renierite,Germanite,Cu^1+ Cu^2+ Zn^2+ Fe^2+ Fe^3+ Ge^4+ As^5+ S^2-,1800,,NA,,NA,NA,NA,NA,NA,,
,Effenbergerite,Effenbergerite,Gillespite,Ba Cu^2+ Si O,1054,NA,,,,,,,,,
,Wesselsite,Wesselsite,Gillespite,Sr Cu^2+ Si O,1054,NA,,,,,,,,,
,Cuprorivaite,Cuprorivaite,Gillespite,Ca Cu^2+ Si O,354,NA,,,,,,,,,
,Gilmarite,Gilmarite,Gilmarite,Cu^2+ As^5+ O H,387,NA,,,,,,,,,
,Beusite,Beusite,Graftonite,Mn^2+ P^5+ O,2772,NA,,,,,,,,,
Graftonite,Graftonite,Graftonite,Graftonite,Fe^2+ P^5+ O,2000,,NA,NA,NA,NA,NA,NA,NA,NA,
,Gravegliaite,Gravegliaite,Gravegliaite,Mn^2+ S^4+ O H,600,NA,,,,,,,,,
,Minehillite,Minehillite,Gyrolite,K Ca Zn^2+ Al Si O H,1349,NA,,,,,,,,,
Halotrichite,Halotrichite,Halotrichite,Halotrichite,Fe^2+ Al S^6+ O H,2600,,NA,NA,NA,NA,NA,NA,NA,NA,
,Dietrichite,Dietrichite,Halotrichite,Zn^2+ Al S^6+ O H,2500,NA,,,,,,,,,
,Apjohnite,Apjohnite,Halotrichite,Mn^2+ Al S O H,1000,NA,,,,,,,,,
,Arsenohauchecornite,Arsenohauchecornite,hauchecornite,Ni Bi As S,2739,NA,,,,,,,,,
,Hauchecornite,Hauchecornite,hauchecornite,Ni Bi Sb S,2500,NA,,,,,,,,,
Gartrellite,Gartrellite,Gartrellite,Helmutwinklerite,Pb^2+ Cu^2+ Fe^3+ As^5+ O H,1861,,NA,,NA,NA,NA,NA,NA,NA,
,Helmutwinklerite,Helmutwinklerite,Helmutwinklerite,Pb^2+ Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Zincgartrellite,Zincgartrellite,Helmutwinklerite,Pb^2+ Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Rappoldite,Rappoldite,Helmutwinklerite,Pb^2+ Co^2+ As^5+ O H,327.4,NA,,,,,,,,,
Arakiite,Arakiite,Arakiite,Hematolite,Zn^2+ Mn^2+ Fe^3+ As^3+ O As^5+ H,1898,5637,NA,NA,5637,NA,NA,NA,NA,ZN_SUB,N
Dixenite,Dixenite,Dixenite,Hematolite,Cu^1+ Mn^2+ Fe^3+ As^3+ O Si As^5+ H,1898,,NA,,,NA,NA,NA,NA,NA,
,Hematolite,Hematolite,Hematolite,Mn^2+ Mg Al As^3+ O As^5+ H,1898,NA,,,,,,,,,
Kraisslite,Kraisslite,Kraisslite,Hematolite,Zn^2+ Mn^2+ Mg Fe^3+ Al As^3+ O Si As^5+ H,1180,,NA,NA,,NA,NA,NA,NA,,
,Turtmannite,Turtmannite,Hematolite,Mn^2+ O V^5+ Si H,,NA,,,,,,,,,
,Hereroite,Hereroite,Hereroite,Pb^2+ O As^5+ Si V^5+ Mo^6+ Cl,601,NA,,,,,,,,,
,Metahewettite,Metahewettite,Hewettite,Ca V^5+ O H,359,NA,,,,,,,,,
,Hewettite,Hewettite,Hewettite,Ca V^5+ O H,340,NA,,,,,,,,,
,Barnesite,Barnesite,Hewettite,Na V^5+ O H,260,NA,,,,,,,,,
,Nickelhexahydrite,Nickelhexahydrite,Hexahydrite,Ni^2+ S^6+ O H,2709,NA,,,,,,,,,
,Bianchite,Bianchite,Hexahydrite,Zn^2+ S^6+ O H,1180,NA,,,,,,,,,
,Moorhouseite,Moorhouseite,Hexahydrite,Co^2+ S^6+ O H,425,NA,,,,,,,,,
Ferrohögbomite-2N2S,Ferrohogbomite-2N2S,Ferroh&#246;gbomite-2N2S,Hogbömite-Ferrohögbomite,Fe^2+ Mg Zn^2+ Al Ti^4+ Fe^3+ O H,32,FE_SUB,NA,NA,NA,NA,NA,NA,NA,ZN_SUB,N
Magnesiohögbomite-2N3S,Magnesiohogbomite-2N3S,Magnesioh&#246;gbomite-2N3S,Hogbömite-Magnesiohogbömite,Mg Fe^2+ Zn^2+ Ti^4+ Al Fe^3+ O H,1880,,NA,NA,NA,NA,NA,NA,NA,,
Magnesiohögbomite-2N2S,Magnesiohogbomite-2N2S,Magnesioh&#246;gbomite-2N2S,Hogbömite-Magnesiohogbömite,Al Mg Fe^2+ Fe^3+ Ti^4+ O H,,,NA,NA,NA,NA,NA,NA,NA,NA,
Magnesiohögbomite-2N4S,Magnesiohogbomite-2N4S,Magnesioh&#246;gbomite-2N4S,Hogbömite-Magnesiohogbömite,Mg Al Ti^4+ O H,,,NA,NA,NA,NA,NA,NA,NA,NA,
Magnesiohögbomite-6N6S,Magnesiohogbomite-6N6S,Magnesioh&#246;gbomite-6N6S,Hogbömite-Magnesiohogbömite,Mg Al Fe^2+ Fe^3+ Ti^4+ O H,,,NA,NA,NA,NA,NA,NA,NA,NA,
Zincohögbomite-2<i>N</i>6<i>S</i>,Zincohogbomite-2N6S,Zincoh&#246;gbomite-2&lt;i&gt;N&lt;/i&gt;6&lt;i&gt;S&lt;/i&gt;,Hogbömite-Zincohögbomite,Zn^2+ Al Fe^3+ Ti^4+ Mg O H,,,NA,NA,NA,NA,NA,NA,NA,,
,Hopeite,Hopeite,Hopeite,Zn^2+ P^5+ O H,1703,NA,,,,,,,,,
,Arsenohopeite,Arsenohopeite,Hopeite,Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Nizamoffite,Nizamoffite,Hopeite,Mn^2+ Zn^2+ P^5+ O H,351,NA,,,,,,,,,
Grigorievite,Grigorievite,Grigorievite,Howardevansite,Cu^2+ Fe^3+ Al V^5+ O,3.60E-05,,NA,,NA,NA,NA,NA,NA,NA,
Howardevansite,Howardevansite,Howardevansite,Howardevansite,Na Cu^2+ Fe^3+ V^5+ O,,,NA,,NA,NA,NA,,NA,NA,
Koksharovite,Koksharovite,Koksharovite,Howardevansite,Ca Mg Fe^3+ V^5+ O,,,NA,,NA,NA,NA,,NA,NA,
Ziminaite,Ziminaite,Ziminaite,Howardevansite,Fe^3+ V^5+ O,,,NA,NA,NA,NA,NA,,NA,NA,
Hulsite,Hulsite,Hulsite,Hulsite,Fe^2+ Fe^3+ O B,2058,,NA,NA,NA,NA,NA,NA,NA,NA,
Humboldtine,Humboldtine,Humboldtine,Humboldtine,Fe^2+ C O H,1060,,NA,NA,NA,NA,NA,NA,NA,NA,
,Lindbergite,Lindbergite,Humboldtine,Mn^2+ C O H,630,NA,,,,,,,,,
,Leucophoenicite,Leucophoenicite,Humite,Mn^2+ Si O H,2400,NA,,,,,,,,,
,Byrudite,Byrudite,Humite,Be V^3+ Ti^4+ O,1985,NA,,,,,,,,,
,Alleghanyite,Alleghanyite,Humite,Mn^2+ Si O H,1898,NA,,,,,,,,,
,Manganhumite,Manganhumite,Humite,Mn^2+ Si O H,1898,NA,,,,,,,,,
