id, type
1wod,1
Djerfisherite-0006153,0
3gke,1
4edk,1
1rx3,1
2afh,1
1nyk,1
4mk4,1
4neb,1
4ar3,1
3hcr,1
3shd,1
2z1d,1
3ka9,1
3h7j,1
4ee1,1
2qb7,1
3w44,1
4uq8,1
2chu,1
2jqr,1
3uni,1
Violarite-0001000,0
3utd,1
Sulvanite-0000146,0
1ubt,1
4pl2,1
1s6u,1
1b4n,1
4ezf,1
1do8,1
2qif,1
1tko,1
3sx3,1
5cxr,1
2fk3,1
Mottramite-0005468,0
3q7c,1
Stottite-0019858,0
3fou,1
Raspite-0009580,0
Delafossite-0000018,0
2jlc,1
2woc,1
4dtl,1
1m2a,1
4yw9,1
2jiq,1
Fluckite-0012068,0
3b51,1
Jacquesdietrichite-0007064,0
3mm6,1
Nikischerite-0005826,0
1r7s,1
1ce8,1
1kws,1
4kqb,1
3gbr,1
1iu5,1
2wdv,1
Chenite-0015326,0
1s5n,1
3cu0,1
2rj1,1
1uuw,1
1aa6,1
4e1h,1
1yk4,1
Campigliaite-0000866,0
2mjd,1
3cir,1
1a5v,1
3vcp,1
1wql,1
1m2d,1
Effenbergerite-0018763,0
1uuv,1
1vdv,1
1uvj,1
4zlw,1
3aes,1
Diaboleite-0005469,0
4pkf,1
1l5h,1
2ioc,1
Anapaite-0012067,0
4g39,1
2v3v,1
1j9k,1
1bq9,1
4iuc,1
2e3t,1
4jy8,1
4k6r,1
1a0d,1
4m0v,1
1h9p,1
1on6,1
2c2f,1
3utc,1
5a3n,1
3nvz,1
4dnr,1
Sardignaite-0017091,0
4qee,1
3odb,1
Stibivanite-0005232,0
1bq8,1
1k0v,1
4ndp,1
2xi7,1
2pia,1
Heazlewoodite-0000575,0
2qwm,1
Metasideronatrite-0005014,0
2xsh,1
1o6k,1
1noe,1
3dt4,1
3fxk,1
1fdo,1
2d3a,1
1r2m,1
2fb3,1
Manganite-0013942,0
2zyl,1
3i0g,1
4mmz,1
1gx5,1
4gjj,1
3eqq,1
5bwe,1
1gph,1
2ckj,1
4fo7,1
1s30,1
1jdb,1
2ams,1
7fdr,1
3frx,1
1qmg,1
3x1e,1
2fyn,1
2am4,1
3hip,1
3rfa,1
4hov,1
5c4d,1
Urusovite-0012367,0
4s00,1
2pnj,1
1wbl,1
1o95,1
4wyl,1
4lr7,1
3u0d,1
1ffv,1
4ogq,1
1m1x,1
2c3m,1
Chapmanite-0015317,0
Strengite-0012324,0
1qvi,1
4mux,1
2wdq,1
Felbertalite-0006838,0
2hmm,1
1fhm,1
3sao,1
Ilmenite-0000925,0
3noy,1
2am5,1
1vkm,1
4z73,1
4zbz,1
3dys,1
4dz6,1
2jd7,1
3hwf,1
2g36,1
1mio,1
2pa8,1
4qck,1
3b2f,1
Retgersite-0015590,0
4wce,1
1ksi,1
Penobsquisite-0005500,0
Schwertmannite-0018670,0
1y4z,1
3vyr,1
3ngf,1
4udy,1
4klc,1
Paganoite-0006855,0
3ml1,1
1n5x,1
4ov1,1
1ohy,1
3n4q,1
1w77,1
2b7j,1
1oyy,1
1yqn,1
Stolzite-0012777,0
4a9x,1
3o3o,1
1e1d,1
4xkm,1
2gvz,1
5bvh,1
1kg2,1
2cix,1
2nw8,1
2cj0,1
3fxj,1
4bew,1
5adu,1
2dds,1
3k7r,1
1mvo,1
4ybn,1
1f3x,1
Vanadinite-0014110,0
1gth,1
1kea,1
4lyu,1
3l7g,1
1sb3,1
3or1,1
1a70,1
3h9a,1
3uny,1
4yh5,1
1frf,1
2ygk,1
Johannsenite-0000156,0
1su6,1
4qe4,1
2jip,1
2y1g,1
3moe,1
1x0g,1
4gim,1
4n59,1
3olx,1
3rf9,1
5c48,1
1vck,1
3tlk,1
2bs4,1
2fjd,1
1dox,1
1cad,1
Trippkeite-0015655,0
2yc5,1
3pdi,1
3d34,1
1v83,1
4d4o,1
2d3c,1
1lof,1
1cw1,1
3pyz,1
3hui,1
Khaidarkanite-0019201,0
2frv,1
1pj2,1
1vm9,1
4m0x,1
1b0j,1
1uuy,1
1xln,1
2xuz,1
1pfd,1
4v0j,1
1xlp,1
1doi,1
5cou,1
2uve,1
2p9a,1
2ga2,1
1o7o,1
1m1y,1
1cs0,1
4gnm,1
2jfs,1
5cdm,1
1tkp,1
4ysw,1
1ofd,1
1uwm,1
1wri,1
4p1c,1
3ah7,1
4pbu,1
4nbg,1
3mm8,1
2mh7,1
5a61,1
1v84,1
2j4j,1
1qh1,1
3vnk,1
3rep,1
1v6n,1
1up6,1
1m2b,1
2z86,1
4oyn,1
2ga0,1
4kla,1
1iue,1
1ubm,1
Torbernite-0005830,0
1iqz,1
1vei,1
1qmo,1
1frj,1
2jlr,1
5eaw,1
4m5q,1
1f5b,1
2b1x,1
2pal,1
2xmj,1
5c1g,1
3hmk,1
3fgo,1
2gmj,1
4frp,1
1oqq,1
Krohnkite-0009535,0
Zeunerite-0005831,0
2e6h,1
1g21,1
1suf,1
4k38,1
3rla,1
2qd5,1
1iu6,1
3sbr,1
4n83,1
4g3p,1
3aqi,1
5byr,1
4a6v,1
Cianciulliite-0001413,0
1smm,1
4yvz,1
1fp4,1
4m7t,1
4dja,1
1rm6,1
2iry,1
4ucw,1
3zr9,1
2hmj,1
1f2g,1
3u7q,1
1bd6,1
Lepidocrocite-0011833,0
Lithidionite-0000464,0
1jqk,1
2xso,1
1twg,1
2xcs,1
4g38,1
3b53,1
2j18,1
3l6b,1
2rj0,1
Chloroxiphite-0014466,0
2gmh,1
3myh,1
2jd1,1
2xr8,1
1frd,1
2po5,1
3o5a,1
3aeu,1
1kf6,1
Haydeeite-0009948,0
1t9p,1
3unc,1
3zgg,1
Radovanite-0012037,0
4lpn,1
2hmn,1
4rzz,1
3k1a,1
1frk,1
4eb3,1
3ayx,1
3kyu,1
Magnetite-0007418,0
1vzu,1
1imd,1
Kamiokite-0010022,0
2q92,1
